店舗名,URL,住所
アミュージアム 津島店,https://amuseum.jp/store/am_tsushima/,愛知県津島市大字津島字北新開351番地 ヨシヅヤ津島本店シネマ館2階
アミュージアム 名西店（あそびの広場）,https://amuseum.jp/store/ah_meisei/,愛知県名古屋市西区名西2-33-8 ヨシヅヤ名古屋名西店2F
サープラワンダーシティあそびタウン,https://3rd-planet.jp/,熊本県熊本市中央区九品寺6-9-1 ワンダーシティ南熊本 2F
オタイチポップワールド 西尾店,https://otaichi-pop-world.com/,愛知県西尾市上町泡原7-1
お宝市番館 尾張旭店,https://www.otaichi.com/,愛知県尾張旭市 (詳細不明)
お宝創庫 豊田店,https://www.otakarasouko.com/,愛知県豊田市下市場町4-17-1
ゲームパニック 大高,https://www.leisurelan.co.jp/,愛知県名古屋市緑区忠治山201 名古屋グランドボウル 地下2階
ゲームパニック 大須,https://www.leisurelan.co.jp/,愛知県名古屋市中区大須3-30-93 メガタウンB1F
ゲームパニック 豊橋,https://www.leisurelan.co.jp/,愛知県豊橋市藤沢町141 ホリデイ・スクエア アミューズメントビル1F
ピーターパンと仲間たち 小牧店,https://amuseum.jp/store/pn_komaki/,愛知県小牧市東1-126 イオン小牧2階
プレイランドキャッスル 大曽根店,-,愛知県名古屋市東区東大曽根町28-33
楽市楽座 イオンモール名古屋茶屋店,https://rakuichi-rakuza.jp/,愛知県名古屋市港区西茶屋2-11 イオンモール名古屋茶屋 3F
名古屋レジャーランド ささしま店,https://www.yamazakiya.co.jp/,愛知県名古屋市中村区平池町4-60-14 マーケットスクエアささしま 1F
名古屋レジャーランド 大高店,https://www.yamazakiya.co.jp/,愛知県名古屋市緑区大高町字奥の谷1-1
回遊館 西条店,-,愛媛県西条市新田155 フレスポ西条内
アミパラ 松山店,https://amipara.co.jp/,愛媛県松山市東石井6-10-33
アミューズメントパークMG キスケ店,http://www.mginc.jp/,愛媛県松山市宮田町4 キスケBOX 2階
ソユーフォレストハンター 松前店,https://soyu-am.jp/,愛媛県伊予郡松前町筒井850 エミフルMASAKI AM棟 1F
WonderGOO PLUS＋ つくば店,https://www.wonder.co.jp/amusement/,茨城県つくば市研究学園7-54-1
WonderGOO ひたちなか店,https://www.wonder.co.jp/amusement/,茨城県ひたちなか市中根3325
WonderGOO 下館店,https://www.wonder.co.jp/amusement/,茨城県筑西市菅谷1513
WonderGOO 常陸大宮店,https://www.wonder.co.jp/amusement/,茨城県常陸大宮市下村田2387
WonderGOO 那珂店,https://www.wonder.co.jp/amusement/,茨城県那珂市菅谷1618-2
アミューズメントJAM つくば店,-,茨城県つくば市館野1-2
おたちゅう 日立南店,https://yume-hm.com/,茨城県日立市森山町4-10-32
おたちゅう 龍ヶ崎店,https://otachu-ryugasaki.com/,茨城県龍ケ崎市小通幸谷町288
ぐるぐる大帝国 牛久店,https://www.otakara.co.jp/,茨城県牛久市柏田町3040
ぐるぐる大帝国 結城店,https://www.otakara.co.jp/,茨城県結城市結城7112-2
ぐるぐる大帝国 水戸店,https://www.otakara.co.jp/,茨城県水戸市笠原町1497-1
ゲームパニック つくば,https://www.leisurelan.co.jp/,茨城県つくば市大角豆2012-118
とれるんキングダム サカイモール店,-,茨城県猿島郡境町1156-1 サカイモール内
茨城レジャーランド 古河店,https://www.yamazakiya.co.jp/,茨城県古河市小堤2017-1
OTAKARA amuse 古新田店,https://otakarahakken-koshinden.com/,岡山県岡山市南区古新田808
アミパラ 岡山店,https://amipara.co.jp/,岡山県岡山市北区青江1-13-8
アミパラ 倉敷店,https://amipara.co.jp/,岡山県倉敷市西中新田611-1
お宝発見 岡山店,https://otakarahakken.com/,岡山県岡山市南区泉田22-2
お宝発見 津山店,https://otakarahakken.com/,岡山県津山市院庄1039-1
アミュージアム 南風原店,https://amuseum.jp/store/am_haebaru/,沖縄県島尻郡南風原町宮平264 イオン南風原店2階
トレトレ倉庫 糸満店,https://mangasouko-okinawa.com/toretore-itoman/,沖縄県糸満市兼城400番地 テナント棟D1区画
マンガ倉庫 浦添店,-,沖縄県浦添市城間2689-1
マンガ倉庫 那覇店,-,沖縄県那覇市高良3-1-12
マンガ倉庫 泡瀬店,-,沖縄県沖縄市与儀3-13-1
WonderGOO 奥州水沢店,https://www.wonder.co.jp/amusement/,岩手県奥州市水沢佐倉河字羽黒田43
ソユーゲームフィールド 釜石店,https://soyu-am.jp/,岩手県釜石市港町2-1-1 イオンタウン釜石
ソユーゲームフィールド 盛岡南店,https://soyu-am.jp/,岩手県盛岡市本宮7-1-1 イオンモール盛岡南
万SAI堂 盛岡店,-,岩手県盛岡市 (詳細不明)
万SAI堂 北上店（あそビレッジ）,-,岩手県北上市村崎野14地割68-32
万代 盛岡店,https://mandai-s.jp/,岩手県盛岡市前潟2-1-1
回遊館 岐阜店,-,岐阜県岐阜市芥見大船2-71
お宝市番館 岐阜 イオンタウン各務原店,https://www.otaichi.com/,岐阜県各務原市那加萱場町3-8 イオンタウン各務原
岐阜レジャーランド 穂積店,https://www.yamazakiya.co.jp/,岐阜県瑞穂市稲里580-1 プラント6 2F
浪漫遊 各務原店,https://www.romanyu.com/,岐阜県各務原市鵜沼各務原町1-118
GiGOクレーンゲームオアシス ベアーズモール清武,https://contents.gendagigo.jp/cranegame-oasis/,宮崎県宮崎市清武町新町2-1-1 ベアーズモール清武内
Hapipi Land イオン日向店,https://www.hapipiland.com/,宮崎県日向市日知屋古田町61-1 イオン日向店
トレトレ倉庫 日南店,https://mangasouko-kagoshima.com/,宮崎県日南市星倉4丁目1-5
マンガ倉庫 宮崎店,-,宮崎県宮崎市吉村町前田甲1117
マンガ倉庫 日向店,-,宮崎県日向市財光寺3102
楽市楽座 イオンモール宮崎店,https://rakuichi-rakuza.jp/,宮崎県宮崎市新別府町江口862-1 イオンモール宮崎 2F
アミュージアム ヨークタウン市名坂店,https://amuseum.jp/store/am_ichinazaka/,宮城県仙台市泉区市名坂字中道100-9 ヨークタウン市名坂
サープラ岩沼あそびタウン,https://3rd-planet.jp/,宮城県岩沼市たけくま1-1-1
ザ・サードプラネット BiVi仙台店,https://3rd-planet.jp/,宮城県仙台市宮城野区榴岡2-1-25 BiVi仙台駅東口
ソユーゲームフィールド 古川店,https://soyu-am.jp/,宮城県大崎市古川沢田字筒場浦15 イオンタウン古川
ソユーゲームフィールド 仙台長町店,https://soyu-am.jp/,宮城県仙台市太白区長町7-20-3 ザ・モール仙台長町
ピーターパンと仲間たち 船岡店,https://amuseum.jp/store/pn_funaoka/,宮城県柴田郡柴田町大字船岡字新田112 船岡西友跡
万代 古川店,https://mandai-s.jp/,宮城県大崎市古川沢田字新新田44
万代 仙台泉店,https://shop.mandai-s.jp/,宮城県仙台市泉区松森字斉兵衛58-1
万代 仙台南店,https://shop.mandai-s.jp/,宮城県仙台市太白区中田町字杉の下34
万代 多賀城店,https://mandai-s.jp/,宮城県多賀城市明月1-168-1
アミュージアム 木津川店,https://amuseum.jp/store/am_kizugawa/,京都府木津川市州見台1-1-1-1 ガーデンモール木津川
サープラ京都あそびタウン,https://3rd-planet.jp/,京都府京都市中京区西ノ京栂尾町107 BiVi二条 2F
アミパラ 久御山店,https://amipara.co.jp/,京都府久世郡久御山町森大内337
開放倉庫 山城店,-,京都府木津川市山城町椿井畑岡40-1
サープラ荒尾あそびタウン,https://3rd-planet.jp/,熊本県荒尾市原万田700-1 グリーンランド内
アミパラ 熊本店,https://amipara.co.jp/,熊本県熊本市東区下南部3-1-35
ぐるぐる倉庫 菊陽店,https://www.gurugurusouko.com/,熊本県菊池郡菊陽町津久礼2595-1
ぐるぐる倉庫 熊本本店,https://www.gurugurusouko.com/,熊本県熊本市南区近見7-2-1
ぐるぐる倉庫 麻生田店,https://www.gurugurusouko.com/,熊本県熊本市北区麻生田3-2-20
楽市楽座 イオンモール熊本店,https://rakuichi-rakuza.jp/,熊本県上益城郡嘉島町大字上島字長池2232 イオンモール熊本 2F
回遊館 伊勢崎店,-,群馬県伊勢崎市宮子町3423-22
アピナ 太田店,https://www.kyowa-corp.co.jp/,群馬県太田市内ケ島町907-1
ぐるぐる大帝国 館林店,https://www.otakara.co.jp/,群馬県館林市富士原町937-1
群馬レジャーランド 伊勢崎店,https://www.yamazakiya.co.jp/,群馬県伊勢崎市連取町3066-1
群馬レジャーランド 高崎駅東口店,https://www.yamazakiya.co.jp/,群馬県高崎市江木町333-1 高崎EXビル
万代書店 伊勢崎店,https://mandai-isesaki.com/,群馬県伊勢崎市連取町868-1
万代書店 高崎店,https://mandai-takasaki.com/,群馬県高崎市上中居町239-2
とれるんキングダム (北関東各店),-,群馬県内 (詳細不明)
アミパラ 広島店,https://amipara.co.jp/,広島県広島市西区西観音町3-16
あみぱらんど 福山店,https://amipara.co.jp/,広島県福山市引野町5-28-1
お宝市番館 イオン広店,https://otaichi.com/,広島県呉市広本町1-11-20 イオン広店
お宝市番館 呉店,https://otaichi.com/,広島県呉市広文化町1-32
お宝買取団 広島八木店,-,広島県広島市安佐南区八木2-16-10
お宝買取団 東広島店,-,広島県東広島市西条町御薗宇6266-1
アミュージアム 高松店,https://amuseum.jp/store/am_takamatsu/,香川県高松市伏石町2122-1
アミパラ 丸亀店,https://amipara.co.jp/,香川県丸亀市田村町1565
アミパラ 高松店,https://amipara.co.jp/,香川県高松市香西本町1-1 イオンモール高松
お宝市番館 瀬戸大橋店,https://otaichi.com/,香川県綾歌郡宇多津町浜三番丁51-1
アミュージアム 高知店,https://amuseum.jp/store/am_kochi/,高知県高知市秦南町1-4-8 イオンモール高知 3F
アミパラ 高知店,https://amipara.co.jp/,高知県高知市介良乙317-1
マンガ倉庫 武雄店,-,佐賀県武雄市武雄町大字武雄5774
アミュージアム 所沢店,https://amuseum.jp/store/am_tokorozawa/,埼玉県所沢市日吉町12-1 西武所沢S.C. 7F
アミュージアム 川口店,https://amuseum.jp/store/am_kawaguchi/,埼玉県川口市並木元町1-79 アリオ川口2階
サープラ八潮あそびタウン,https://3rd-planet.jp/,埼玉県八潮市大瀬1-1-3 フレスポ八潮
Hapipi Land 東大宮店,https://www.hapipiland.com/,埼玉県さいたま市見沼区東大宮5-43-1
